District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527,954949,567098,387851,539469,383482,155987,265453,274016,1175714,149604,241825,28884,119156,1300586,404410,1766,447,4393,95,35,3451
187,UTTAR PRADESH,Mahrajganj,2684703,1381754,1302949,1419144,881674,537470,994253,659465,334788,439293,554960,1690450,229847,532486,43015,188905,2196884,458650,3527,1381,16030,243,338,7650
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118,2700328,1593890,1106438,1351629,1016876,334753,746381,605248,3089266,255660,454931,82965,558073,4009037,403847,9662,2123,2848,460,207,12711
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489,1954820,1183722,771098,1116973,804857,312116,523258,593715,2447571,265686,528388,57049,265850,2928462,620244,5006,767,4619,383,133,4930
190,UTTAR PRADESH,Deoria,3100946,1537436,1563510,1875239,1079288,795951,876246,639073,237173,455382,420864,2224700,238237,291016,50418,296575,2730957,358539,3626,818,1182,209,146,5469
191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,2771917,1559414,1212503,1372032,941890,430142,784272,587760,3241881,425630,452055,115991,378356,3878626,718692,3810,719,5652,183,226,6005
192,UTTAR PRADESH,Mau,2205968,1114709,1091259,1363044,773082,589962,696747,475413,221334,396438,300309,1509221,145225,212343,118614,220565,1769937,428555,2109,340,564,155,129,4179
193,UTTAR PRADESH,Ballia,3239774,1672902,1566872,1963590,1160960,802630,1019483,723060,296423,569522,449961,2220291,206228,384432,72194,356629,3004240,213440,4463,892,1595,233,64,14847
194,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739,2731677,1565394,1166283,1437375,934157,503218,896547,540828,3056829,540762,436792,88404,371417,3981502,483750,4947,1286,7898,349,114,14358
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193,2197549,1293553,903996,1204602,808700,395902,766881,437721,2415666,368943,435934,68254,331471,3233790,368153,4181,810,3145,213,184,9792
196,UTTAR PRADESH,Chandauli,1952756,1017905,934851,1174606,699454,475152,652543,462971,189572,341927,310616,1300213,125980,248674,58552,219337,1727869,215081,2153,1389,340,100,1175,4649
197,UTTAR PRADESH,Varanasi,3676841,1921857,1754984,2403903,1389116,1014787,1220708,921234,299474,920761,299947,2456133,197952,182146,168764,671846,3107681,546987,7696,3309,1146,1898,298,7826
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,910146,546782,363364,470608,343155,127453,286978,183630,1107605,94402,104419,62665,209122,1368291,203887,1365,199,1562,161,7,2741
199,UTTAR PRADESH,Mirzapur,2496970,1312302,1184668,1428683,865837,562846,881996,613061,268935,537091,344905,1614974,178132,334372,80246,289246,2292534,195765,2373,1133,341,701,27,4096
200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,985708,601988,383720,730399,463611,266788,397196,333203,1132160,141007,371261,29417,188714,1738769,103567,3963,1649,1747,487,1907,10470
201,UTTAR PRADESH,Etah,1774480,947339,827141,1055202,647042,408160,545984,440244,105740,415476,130508,1228496,242396,131779,28396,143413,1611126,146346,2464,708,2887,5671,18,5260
202,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,672554,724850,452803,272047,472765,375213,97552,354257,118508,963954,229088,107094,22492,114091,1211427,213822,1969,2280,3907,313,72,2929
203,BIHAR,Pashchim Champaran,3935042,2061110,1873932,1759481,1091226,668255,1478947,999282,479665,797544,681403,2456095,217539,998833,38691,223884,3047427,865090,8469,926,1337,296,1895,9602
204,BIHAR,Purba Champaran,5099371,2681209,2418162,2276957,1407603,869354,1737539,1260774,476765,1132789,604750,3361832,349032,1057417,46164,284926,4086453,990349,4865,668,878,464,104,15590
205,BIHAR,Sheohar,656246,346673,309573,283698,171645,112053,216372,166693,49679,137804,78568,439874,38727,136334,9119,32192,552492,99342,522,216,73,52,44,3505
206,BIHAR,Sitamarhi,3423574,1803252,1620322,1436794,885188,551606,1114583,865929,248654,753645,360938,2308991,216012,635907,37932,224732,2672311,740101,2897,261,253,188,20,7543
207,BIHAR,Madhubani,4487379,2329313,2158066,2155338,1340085,815253,1636938,1105947,530991,1074091,562847,2850441,396880,940642,54934,244482,3652168,818912,3262,564,328,442,169,11534
208,BIHAR,Supaul,2229076,1155283,1073793,1033283,647672,385611,877682,551718,325964,472649,405033,1351394,201882,554271,22555,98974,1809936,409251,3758,271,136,546,42,5136
209,BIHAR,Araria,2811569,1463333,1348236,1195768,727643,468125,1069893,708391,361502,696410,373483,1741676,222913,691947,24367,130666,1593525,1207442,4116,371,187,1910,63,3955
210,BIHAR,Kishanganj,1690400,866970,823430,745056,439921,305135,529064,421192,107872,384416,144648,1161336,107862,321867,11633,87702,531236,1149095,5783,398,183,1476,28,2201
211,BIHAR,Purnia,3264619,1699370,1565249,1332326,805261,527065,1143318,803275,340043,776385,366933,2121301,197424,745015,28840,172039,1989420,1255641,7989,614,353,1450,650,8502
212,BIHAR,Katihar,3071029,1600430,1470599,1280190,762256,517934,1013566,760522,253044,667602,345964,2057463,168857,672291,20577,151841,1684589,1365645,8659,2754,212,507,2141,6522
213,BIHAR,Madhepura,2001762,1047559,954203,834577,517666,316911,777546,496046,281500,443507,334039,1224216,190809,484062,16347,86328,1753829,241760,1342,170,60,133,81,4387
214,BIHAR,Saharsa,1900661,997174,903487,804996,506374,298622,649898,456724,193174,363326,286572,1250763,164600,356833,18651,109814,1629254,266620,1292,197,60,109,8,3121
215,BIHAR,Darbhanga,3937385,2059949,1877436,1816634,1125566,691068,1223640,947927,275713,731347,492293,2713745,236673,642115,44846,300006,3042729,881476,3534,832,245,236,101,8232
216,BIHAR,Muzaffarpur,4801062,2527497,2273565,2509232,1487117,1022115,1547586,1195308,352278,910304,637282,3253476,273436,769001,65253,439896,4032773,745546,5149,933,288,382,98,15893
217,BIHAR,Gopalganj,2562012,1267666,1294346,1382998,793905,589093,728201,539586,188615,363111,365090,1833811,208959,338666,26049,154527,2119262,436057,2463,271,167,133,28,3631
218,BIHAR,Siwan,3330464,1675090,1655374,1930175,1115906,814269,932416,730396,202020,462104,470312,2398048,264928,376344,31244,259900,2712635,608282,2618,369,407,359,86,5708
219,BIHAR,Saran,3951862,2022821,1929041,2157454,1285767,871687,1040231,857660,182571,545520,494711,2911631,232097,493461,42103,272570,3534772,406449,2330,371,229,322,107,7282
220,BIHAR,Vaishali,3495021,1844535,1650486,1926740,1152576,774164,1060344,858648,201696,716006,344338,2434677,255017,502637,36958,265732,3152346,333980,2203,707,362,246,71,5106
221,BIHAR,Samastipur,4261566,2230003,2031563,2142880,1293575,849305,1343400,1037576,305824,907433,435967,2918166,299039,721629,47917,274815,3800598,452370,2126,554,292,231,112,5283
222,BIHAR,Begusarai,2970541,1567660,1402881,1548673,918507,630166,938182,715345,222837,591811,346371,2032359,146035,430870,58167,303110,2554330,407348,2209,402,229,276,57,5690
223,BIHAR,Khagaria,1666886,883786,783100,768028,461153,306875,560805,398216,162589,306283,254522,1106081,104517,325731,20816,109741,1486989,175588,1253,143,79,86,115,2633
224,BIHAR,Bhagalpur,3037766,1615663,1422103,1573066,937669,635397,983528,740056,243472,534129,449399,2054238,135161,475228,60461,312678,2487866,537098,3556,415,180,1050,32,7569
225,BIHAR,Banka,2034763,1067140,967623,965321,590961,374360,771080,517817,253263,374097,396983,1263683,172440,462614,26680,109346,1772655,250925,6138,139,113,94,1035,3664
226,BIHAR,Munger,1367765,729041,638724,801817,473741,328076,426658,327453,99205,233402,193256,941107,45953,196449,16690,167566,1252319,110416,1815,338,95,145,61,2576
227,BIHAR,Lakhisarai,1000912,526345,474567,507270,305182,202088,326576,240494,86082,201866,124710,674336,78532,159970,13546,74528,956396,40886,487,140,52,78,52,2821
228,BIHAR,Sheikhpura,636342,329743,306599,328676,196431,132245,224655,151569,73086,148002,76653,411687,54511,109696,9917,50531,596102,37653,313,75,41,43,31,2084
229,BIHAR,Nalanda,2877653,1497060,1380593,1519933,919558,600375,1045420,703405,342015,740949,304471,1832233,221240,534021,52585,237574,2669775,198033,1978,393,414,561,64,6435
230,BIHAR,Patna,5838465,3078512,2759953,3459679,2028047,1431632,1881886,1436411,445475,1371267,510619,3956579,271216,658203,85349,867118,5356075,439952,12551,4803,1062,2151,203,21668
231,BIHAR,Bhojpur,2728407,1430380,1298027,1599151,973486,625665,822493,640283,182210,512009,310484,1905914,190896,364875,47985,218737,2518216,197819,2165,544,647,1472,48,7496
232,BIHAR,Buxar,1706352,887977,818375,989807,593544,396263,538322,402180,136142,328547,209775,1168030,132472,251790,26122,127938,1591454,105423,2125,248,5090,97,57,1858
233,BIHAR,Kaimur (Bhabua),1626384,847006,779378,920276,549923,370353,511163,375959,135204,284646,226517,1115221,125070,268597,24880,92616,1456229,155283,1407,296,7707,129,1534,3799
234,BIHAR,Rohtas,2959918,1543546,1416372,1799832,1061783,738049,924879,707939,216940,542439,382440,2035039,218087,405544,48512,252736,2645415,300487,2889,2569,1584,252,537,6185
235,BIHAR,Aurangabad,2540073,1318684,1221389,1466002,868733,597269,837770,599157,238613,480286,357484,1702303,178525,426096,40652,192497,2291133,237353,2218,295,334,775,19,7946
